subject	relation	object	time_step	date
Organization for the Prohibition of Chemical Weapons	Host a visit	Emmanuel Macron	1896	2018-03-21
China	Host a visit	Austria	2784	2018-04-27
Iran	Engage in negotiation	Turkey	2208	2018-04-03
Head of Government (Peru)	Accuse	Venezuela	1248	2018-02-22
Mike Pompeo	Demand	Iran	3360	2018-05-21
Finland	Consult	Donald Trump	4248	2018-06-27
Military (Iran)	Cooperate militarily	Bashar al-Assad	5688	2018-08-26
Binali Yildirim	Consult	Abdullah Abdullah	2352	2018-04-09
China	Praise or endorse	Senegal	4800	2018-07-20
Akhilesh Yadav	Criticize or denounce	Bharatiya Janata	5184	2018-08-05
Poland	Consult	Hungary	4104	2018-06-21
Police (India)	Physically assault	Citizen (India)	72	2018-01-04
United Kingdom	Express intent to engage in diplomatic cooperation (such as policy support)	Iran	5328	2018-08-11
Military (Ukraine)	fight with small arms and light weapons	Ukraine	4344	2018-07-01
Scotland	Yield	Police (United Kingdom)	2328	2018-04-08
Police (Bulgaria)	Make statement	Detainee (Bulgaria)	5280	2018-08-09
Other Authorities / Officials (Russia)	Make an appeal or request	Oversight Court (Russia)	864	2018-02-06
Shehu Sani	Criticize or denounce	Muhammadu Buhari	1080	2018-02-15
François Hollande	Make statement	Police (France)	2064	2018-03-28
Philippines	Make statement	Taiwan	936	2018-02-09
South Korea	Host a visit	Head of Government (Lithuania)	888	2018-02-07
European Union	Appeal for diplomatic cooperation (such as policy support)	Russia	4320	2018-06-30
Student (India)	Threaten	Education (India)	1248	2018-02-22
Priest (France)	Consult	Police (France)	2112	2018-03-30
Honduras	Host a visit	Special Rapporteurs of the United Nations	2208	2018-04-03
Government (Hong Kong)	Accuse	Business (Hong Kong)	4752	2018-07-18
Member of Legislative (Govt) (Zimbabwe)	Demand	Citizen (Zimbabwe)	1680	2018-03-12
Emmanuel Macron	Make a visit	Germany	2616	2018-04-20
Foreign Affairs (China)	Make statement	Government (China)	1608	2018-03-09
Australia	Host a visit	Andrzej Duda	5544	2018-08-20
Vladimir Putin	Make a visit	Finland	4992	2018-07-28
G7	Make a visit	Canada	2040	2018-03-27
Uzbekistan	Consult	Kyrgyzstan	3912	2018-06-13
Nikol Pashinyan	Make statement	Republic of Artsakh	3768	2018-06-07
Government (Lithuania)	Praise or endorse	Linas Antanas Linkevičius	1944	2018-03-23
Lawyer/Attorney (Australia)	Make statement	Green Party (Australia)	432	2018-01-19
Ministry (Vietnam)	Make statement	Vietnam	768	2018-02-02
Amit Shah	Consult	Religion (India)	5016	2018-07-29
Luis Almagro	Praise or endorse	Government (Argentina)	3240	2018-05-16
Other Authorities / Officials (Turkey)	Engage in judicial cooperation	Turkey	2136	2018-03-31
United States	Accuse	Iran	384	2018-01-17
Activist (India)	Demonstrate or rally	Unspecified Actor	48	2018-01-03
Olta Xhaçka	Make a visit	Department of Defense	2544	2018-04-17
Citizen (Russia)	Accuse	Vladimir Putin	1056	2018-02-14
Armed Gang (Afghanistan)	Carry out suicide bombing	Citizen (Afghanistan)	5040	2018-07-30
United States	Cooperate militarily	Turkey	2040	2018-03-27
Christian (Philippines)	Make statement	Court Judge (Philippines)	1296	2018-02-24
Criminal (Australia)	Sexually assault	Student (Australia)	3384	2018-05-22
South Korea	Arrest, detain, or charge with legal action	Men (South Korea)	4296	2018-06-29
Iran	Express intent to meet or negotiate	Turkey	5712	2018-08-27
Tran Dai Quang	Host a visit	Foreign Affairs (Cambodia)	3264	2018-05-17
Lawmaker (India)	Express intent to meet or negotiate	Congress Party	4392	2018-07-03
Member of Parliament (Slovakia)	Make statement	Regional Governor (Slovakia)	96	2018-01-05
Donald Trump	Make statement	Guatemala	912	2018-02-08
Haile-Mariam Desalegne	Make statement	Detainee (Ethiopia)	624	2018-01-27
Police (Romania)	Make an appeal or request	Citizen (Romania)	5568	2018-08-21
Turkey	Make statement	Military (Turkey)	1200	2018-02-20
Member of the Judiciary (Philippines)	Make statement	Philippines	4248	2018-06-27
Emmerson Mnangagwa	Make an appeal or request	Citizen (Zimbabwe)	336	2018-01-15
Mohammad Javad Zarif	Express intent to meet or negotiate	Mevlut Cavusoglu	2784	2018-04-27
Citizen (India)	Return, release property	India	4560	2018-07-10
Children (India)	Criticize or denounce	Police (India)	4296	2018-06-29
Kim Jong-Un	Make a visit	North Korea	1200	2018-02-20
Member of the Judiciary (India)	Reject	Rights Activist (India)	3288	2018-05-18
Member of Parliament (Australia)	Demand change in leadership	Barnaby Joyce	1032	2018-02-13
Defense / Security Ministry (Taiwan)	Make statement	Aircraft Carrier (China)	384	2018-01-17
Ram Nath Kovind	Make statement	India	2376	2018-04-10
High Ranking Military Personnel (Bahrain)	Make statement	Sheikh Hamad bin Isa al Khalifah	2760	2018-04-26
United States	Make an appeal or request	China	360	2018-01-16
Russia	Cooperate militarily	Bashar al-Assad	2712	2018-04-24
Legislature (Germany)	Make statement	Labor Union (Germany)	1680	2018-03-12
China	Express intent to engage in diplomatic cooperation (such as policy support)	United States	5472	2018-08-17
Eduardo Cabrita	Make statement	Government (Portugal)	1920	2018-03-22
Venezuela	Appeal for judicial cooperation	Colombia	5304	2018-08-10
Media Personnel (China)	Make statement	Armed Separatist (Libération)	864	2018-02-06
Boris Johnson	Make statement	G7	2688	2018-04-23
Raimonds Vejonis	Consult	Sergio Mattarella	4392	2018-07-03
Uganda	Consult	Rwanda	3096	2018-05-10
Thong Khom	Make statement	Southeast Asia	4896	2018-07-24
Ivica Dačić	Praise or endorse	Foreign Affairs (Russia)	1248	2018-02-22
European Commission	Engage in negotiation	United Kingdom	1848	2018-03-19
Vladimir Putin	Make a visit	Russia	1296	2018-02-24
Donald Tusk	Defend verbally	European Union	1416	2018-03-01
Donald Trump	Discuss by telephone	Emmanuel Macron	3144	2018-05-12
Independent National Electoral Commission	Praise or endorse	Citizen (Nigeria)	240	2018-01-11
Police (Slovakia)	Arrest, detain, or charge with legal action	Citizen (Italy)	1440	2018-03-02
Romania	Consult	Austria	2544	2018-04-17
Government (Myanmar)	Use conventional military force	Rebel Group (Myanmar)	3144	2018-05-12
State Media (India)	Make statement	Shivraj Singh Chouhan	5352	2018-08-12
Attacker (France)	Use unconventional violence	Citizen (France)	1920	2018-03-22
European Commission	Make a visit	Russia	2064	2018-03-28
Rahul Gandhi	Express intent to meet or negotiate	India	1272	2018-02-23
Criminal (India)	Demonstrate or rally	Unspecified Actor	5640	2018-08-24
Russia	Express intent to engage in diplomatic cooperation (such as policy support)	Lebanon	888	2018-02-07
Government (Spain)	Make statement	ETA	2904	2018-05-02
Head of Government (Qatar)	Make a visit	Turkey	360	2018-01-16
Uhuru Muigai Kenyatta	Express intent to meet or negotiate	Kenya	3624	2018-06-01
France	Express accord	United Kingdom	1752	2018-03-15
Head of Government (Poland)	Consult	European Union	1584	2018-03-08
Russia	Arrest, detain, or charge with legal action	Media Personnel (Ukraine)	3552	2018-05-29
Sheikh Abdullah ibn Nasser ibn Khalifah Al Thani	Express intent to engage in diplomatic cooperation (such as policy support)	Employee (Qatar)	2664	2018-04-22
Executive Office of the President	Make statement	Bashar al-Assad	2376	2018-04-10
United Kingdom	Threaten with military force	Russia	1776	2018-03-16
RENAMO	Engage in negotiation	Government (Mozambique)	1752	2018-03-15
Donald Trump	Appeal to others to meet or negotiate	Norway	240	2018-01-11
Iran	Host a visit	Ri Yong-ho	5256	2018-08-08
Bharatiya Janata	Reject	Hamid Raja	1536	2018-03-06
People Associated with the Opposition (South Korea)	Conduct strike or boycott	Unspecified Actor	3048	2018-05-08
Croatia	Engage in diplomatic cooperation	Montenegro	2520	2018-04-16
Actor (India)	Consult	Mamata Banerjee	2160	2018-04-01
Luiz Inacio Lula Da Silva	Make a visit	Brazil	576	2018-01-25
Member of the Judiciary (India)	Reject	District Commissioner R. Singh	2184	2018-04-02
Satnarine Sharma	Express intent to meet or negotiate	Men (India)	2688	2018-04-23
South Korea	Host a visit	China	5064	2018-07-31
Citizen (United Kingdom)	Demonstrate or rally	Donald Trump	3936	2018-06-14
Federal Bureau of Investigation	Investigate	Citizen (Russia)	3048	2018-05-08
United Nations	Appeal for release of persons or property	Bahrain	5448	2018-08-16
European Union	Engage in diplomatic cooperation	North Atlantic Treaty Organization	4176	2018-06-24
Wang Yi	Make a visit	Japan	2544	2018-04-17
Bharatiya Janata	Defy norms, law	Police (India)	264	2018-01-12
Aleksandar Vučić	Make a visit	Croatia	936	2018-02-09
Donald Trump	Praise or endorse	Vladimir Putin	2040	2018-03-27
United States	Make an appeal or request	Russia	1416	2018-03-01
Abd al-Rab Mansur al-Hadi	Engage in negotiation	United Nations	4560	2018-07-10
Lawyer/Attorney (Indonesia)	Make an appeal or request	Court Judge (Indonesia)	2064	2018-03-28
Legislature (Greece)	Make statement	Greece	360	2018-01-16
Health Ministry (Zambia)	Sign formal agreement	Health Ministry (Angola)	888	2018-02-07
Foreign Affairs (Iran)	Make statement	Islamic Republic News Agency	4704	2018-07-16
Vladimir Putin	Make statement	Syria	3312	2018-05-19
Attorney General (India)	Make statement	Government (India)	2616	2018-04-20
Media Personnel (Indonesia)	Make statement	Prabowo Subianto	2424	2018-04-12
Wang Yi	Make statement	Argentina	3360	2018-05-21
International	Sign formal agreement	Singapore	4776	2018-07-19
Wang Yang	Consult	Denis Sassou Nguesso	3960	2018-06-15
India	Accuse	Arun Jaitley	936	2018-02-09
Information / Communication / Transparency Ministry (Turkey)	Consult	Gurbanguly Berdymukhammedov	2928	2018-05-03
Media Personnel (Nigeria)	Make statement	Criminal (Nigeria)	4536	2018-07-09
Military (India)	Use conventional military force	Combatant (India)	1512	2018-03-05
India	Appeal for intelligence	Citizen (India)	1968	2018-03-24
Brahmin (India)	Criticize or denounce	Citizen (India)	384	2018-01-17
Israeli Defense Forces	Destroy property	Citizen (Palestinian Territory, Occupied)	5736	2018-08-28
Asom Gana Parishad	Criticize or denounce	Democratic Alliance (India)	3336	2018-05-20
Sharjah Chamber of Commerce and Industry	Praise or endorse	South Africa	24	2018-01-02
North Korea	Host a visit	Mike Pompeo	4032	2018-06-18
Fatah	Sign formal agreement	Hamas	4200	2018-06-25
Head of Government (India)	Make a visit	Pakistan	5520	2018-08-19
Treasury/Finance Ministry (Pakistan)	Make statement	Health Ministry (Pakistan)	5352	2018-08-12
European Parliament	Express intent to meet or negotiate	Slovakia	1560	2018-03-07
Government (Philippines)	Engage in negotiation	Delfin Lorenzana	2760	2018-04-26
Foreign Affairs (China)	Make statement	China	3288	2018-05-18
Didier Reynders	Engage in negotiation	Saadeddine El Othmani	576	2018-01-25
European Union	Make an appeal or request	Nicolás Maduro	5280	2018-08-09
Abhisit Vejjajiva	Criticize or denounce	Government (Thailand)	2544	2018-04-17
Head of Government (Argentina)	Make statement	Military (Argentina)	4896	2018-07-24
Bharatiya Janata	Consult	Amit Shah	2424	2018-04-12
Japan	Praise or endorse	Thailand	1008	2018-02-12
United Nations	Express intent to engage in diplomatic cooperation (such as policy support)	Li Keqiang	2328	2018-04-08
Devendra Fadnavis	Make statement	Government (India)	3912	2018-06-13
Saad Hariri	Make a visit	Muhammad ibn Salman	2400	2018-04-11
Gebran Bassil	Consult	Saad Hariri	5304	2018-08-10
Anatolian Agency	Make statement	Criminal (Turkey)	3120	2018-05-11
Mike Pence	Meet at a 'third' location	Opposition Activist (Venezuela)	2496	2018-04-15
Member of the Judiciary (India)	Impose embargo, boycott, or sanctions	Court Judge (India)	3072	2018-05-09
India	Arrest, detain, or charge with legal action	Sanjeev Gupta	5616	2018-08-23
France	Host a visit	Konstantin Kosachev	2280	2018-04-06
Police (India)	Arrest, detain, or charge with legal action	Balwinder Singh	4320	2018-06-30
Muhammadu Buhari	Make statement	Boko Haram	1032	2018-02-13
Buddhist (Sri Lanka)	Use conventional military force	Muslim (Sri Lanka)	1536	2018-03-06
Head of Government (China)	Make an appeal or request	Student (China)	3216	2018-05-15
Moon Jae-in	Make a visit	Indonesia	5280	2018-08-09
Ukraine	Host a visit	Sherif Ismail	2880	2018-05-01
Latvia	Rally opposition against	Russia	5424	2018-08-15
Mali	Investigate crime, corruption	Main Opposition (Mali)	1392	2018-02-28
Moon Jae-in	Express intent to cooperate	Kim Jong-Un	4848	2018-07-22
United Nations	Make an appeal or request	Colombia	4440	2018-07-05
Cook Islands	Praise or endorse	New Zealand	2328	2018-04-08
Ministry (Iran)	Make statement	United States	3096	2018-05-10
Mujiv Sabbihi Hataman	Make statement	Government (Philippines)	4272	2018-06-28
Saudi Arabia	Host a visit	Nawaz Sharif	0	2018-01-01
Mexico	Engage in diplomatic cooperation	United States	2352	2018-04-09
Domestic Affairs (Philippines)	Make statement	Police (Philippines)	2232	2018-04-04
Giorgi Margvelashvili	Make a visit	Belgium	1680	2018-03-12
Central Bureau of Investigation	Make statement	Medical Personnel (India)	3288	2018-05-18
China	Coerce	Men (China)	4560	2018-07-10
Russia	Criticize or denounce	Greece	4776	2018-07-19
Thailand	Host a visit	Gen Prayut Chan-o-cha	5208	2018-08-06
Admiral (Japan)	Make a visit	Bougainville	2472	2018-04-14
Lawyer/Attorney (United Kingdom)	Make statement	United Kingdom	3576	2018-05-30
Citizen (Congo)	Criticize or denounce	Government (Congo)	3384	2018-05-22
Media Personnel (Afghanistan)	Make statement	Military Personnel - Special (Afghanistan)	3384	2018-05-22
Michael J. Scott	Reject	Activist (United States)	5400	2018-08-14
Goldman Sachs	Make a visit	Government (United States)	1704	2018-03-13
Villager (India)	Accuse	Men (India)	3936	2018-06-14
Ministry (India)	Appeal for change in leadership	Aam Aadmi Party	3624	2018-06-01
Military (Russia)	Use conventional military force	Russia	1368	2018-02-27
Men (India)	Make an appeal or request	Indigenous People (India)	5232	2018-08-07
Bharatiya Janata	Make an appeal or request	Police (India)	696	2018-01-30
Court Judge (Singapore)	Ease administrative sanctions	Businessperson (Singapore)	2208	2018-04-03
Men (India)	Demonstrate or rally	Unspecified Actor	3984	2018-06-16
United States	Impose embargo, boycott, or sanctions	Iran	5280	2018-08-09
Egypt	Arrest, detain, or charge with legal action	Citizen (Egypt)	4992	2018-07-28
India	Arrest, detain, or charge with legal action	Men (India)	4872	2018-07-23
Main Opposition (France)	Praise or endorse	Military (France)	2568	2018-04-18
Police (Taiwan)	Use conventional military force	Business (Taiwan)	768	2018-02-02
Organization for the Prohibition of Chemical Weapons	Make a visit	United Kingdom	1848	2018-03-19
James Mattis	Consult	Foreign Affairs (Brazil)	5376	2018-08-13
Julius Maada Bio	Host a visit	Samura Kamara	2400	2018-04-11
Protester (Morocco)	Protest violently, riot	Military Personnel - Special (Morocco)	1752	2018-03-15
Military Personnel (Syria)	Make statement	Militant (Syria)	1584	2018-03-08
Ministry (Ireland)	Consult	Michelle O'Neill	1200	2018-02-20
Amina Mohamed	Engage in symbolic act	Citizen (Nigeria)	240	2018-01-11
Jean-Yves Le Drian	Make statement	France	408	2018-01-18
Sushma Swaraj	Make statement	India	1896	2018-03-21
China	Consult	Wilbur Ross	3648	2018-06-02
Airline (Nigeria)	Demand	Citizen (Nigeria)	4800	2018-07-20
Vladimir Putin	Consult	UN Security Council	600	2018-01-26
Citizen (Thailand)	Make pessimistic comment	Thailand	3504	2018-05-27
Nitin Gadkari	Express intent to meet or negotiate	India	3168	2018-05-13
Gilad Erdan	Make an appeal or request	Citizen (South Africa)	4944	2018-07-26
Member of Parliament (India)	Consult	Company - Owner or Operator (India)	4512	2018-07-08
Donald Trump	Make a visit	Africa	1560	2018-03-07
Media Personnel (Malawi)	Make statement	Malawi Congress Party	5616	2018-08-23
Zambia	Engage in diplomatic cooperation	Angola	2904	2018-05-02
United Kingdom	Praise or endorse	Netherlands	3816	2018-06-09
Moon Jae-in	Make statement	North Korea	3048	2018-05-08
United States	Deny responsibility	Turkey	1896	2018-03-21
United Nations	Receive deployment of peacekeepers	Belarus	1200	2018-02-20
Government (Iran)	Engage in diplomatic cooperation	International	5208	2018-08-06
Police (Nigeria)	Provide humanitarian aid	Children (Nigeria)	5544	2018-08-20
Tony Blair	Make statement	United Kingdom	48	2018-01-03
Ministry (South Africa)	Make statement	Government (South Africa)	888	2018-02-07
Kim Jong-Un	Express intent to engage in diplomatic cooperation (such as policy support)	Moon Jae-in	3240	2018-05-16
Uzbekistan	Consult	Russia	1728	2018-03-14
Rwanda	Criticize or denounce	Police (Rwanda)	1392	2018-02-28
South Africa	Reject	United States	5616	2018-08-23
Colombia	Engage in diplomatic cooperation	European Union	4032	2018-06-18
Rodrigo Duterte	Make statement	Philippines	3576	2018-05-30
Dmitry Peskov	Make statement	Ukraine	432	2018-01-19
Donald Trump	Consult	Andrés Manuel López Obrador	4368	2018-07-02
Police (Bangladesh)	Return, release person(s)	Energy Department/Ministry (Bangladesh)	1920	2018-03-22
